what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1303657839452
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1303657839483
activated,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1303657841182
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1303657844827
started,bundle,com.bbn.swede.ui,2.0.2,com.bbn.swede.ui,1303657852173
started,bundle,com.bbn.swede.view,2.0.2,com.bbn.swede.view,1303657852204
started,bundle,com.bbn.jena,2.0.2,com.bbn.jena,1303657852219
started,bundle,com.bbn.swede.core,2.0.2,com.bbn.swede.core,1303657852219
opened,view,com.bbn.swede.view,2.0.2,com.bbn.swede.view.uriexplorer,1303657852251
activated,perspective,com.bbn.swede.ui,2.0.2,com.bbn.swede.OWLPerspective,1303657852266
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1303657852329
executed,command,,,com.bbn.swede.OWLPerspective,1303657852329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303657856202
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303657876418
activated,view,com.bbn.swede.view,2.0.2,com.bbn.swede.view.uriexplorer,1303657877467
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303657880981
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1303657889462
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303657891182
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1303657895698
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1303657895714
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1303657895729
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1303657895870
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1303657896026
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1303657896088
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,org.eclipse.wst.common.uriresolver,1303657896135
